страница;url;тип страницы;роль;ключевое слово;частота;источник_частоты;направление;намерение;статус;приоритет
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;импорт csv;926;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;2
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;импорт файла csv;311;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;2
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;excel импорт данных;310;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;2
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;импорт данных таблицы;234;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;как сделать импорт данных;99;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;ошибка при импорте данных;89;замер 18.08;Автоматизация рутинных операций и отчетов;проблема;не внедрено;3
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;гугл импорт данных;70;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;импорт excel в базу данных;53;замер 18.08;Информационные системы и цифровая трансформация;не размечено;частично;3
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;импорт google таблицы;51;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;модуль импорта данных;39;замер 18.08;BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;мастер импорта данных;39;замер 18.08;BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;импорт данных некорректен;27;замер 18.08;Автоматизация рутинных операций и отчетов;проблема;не внедрено;3
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;автоматизация выгрузки данных;29;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;частично;3
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;импорт и экспорт данных информационной системы;15;ядро (расходится с замером);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Умный импорт из Google Sheets;https://ideav.ru/knowledge-base/17-smart-google-import.html;статья КБ;дополнительная;как перенести данные из excel без потерь;15;ядро (не проверено);Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
